ano,setor,saldo
2020,Administração Pública,-3461
2020,Agropecuária,53488
2020,Alimentação e Hospedagem,-195523
2020,Artes e Cultura,-22569
2020,Atividades Imobiliárias,1588
2020,Comércio Varejista,28013
2020,Construção Civil,118387
2020,Educação,-69687
2020,Energia Elétrica e Gás,381
2020,Indústria Extrativa,4452
2020,Indústria de Transformação,84403
2020,Não informado,-1
2020,Organismos Internacionais,13
2020,Outros Serviços,-16550
2020,Saúde e Serviços Sociais,96058
2020,Serviços Administrativos,123457
2020,Serviços Domésticos,-5
2020,Serviços Financeiros,-1992
2020,Serviços Profissionais,35645
2020,Tecnologia e Comunicação,26261
2020,Transporte e Armazenagem,-46364
2020,Água e Saneamento,1906
2021,Administração Pública,3056
2021,Agropecuária,120449
2021,Alimentação e Hospedagem,129032
2021,Artes e Cultura,16139
2021,Atividades Imobiliárias,15860
2021,Comércio Varejista,537264
2021,Construção Civil,246762
2021,Educação,32921
2021,Energia Elétrica e Gás,2289
2021,Indústria Extrativa,17761
2021,Indústria de Transformação,439303
2021,Não informado,-4
2021,Organismos Internacionais,57
2021,Outros Serviços,57349
2021,Saúde e Serviços Sociais,168774
2021,Serviços Administrativos,329415
2021,Serviços Domésticos,80
2021,Serviços Financeiros,55872
2021,Serviços Profissionais,148024
2021,Tecnologia e Comunicação,117991
2021,Transporte e Armazenagem,114544
2021,Água e Saneamento,11172
2022,Administração Pública,20635
2022,Agropecuária,58721
2022,Alimentação e Hospedagem,164552
2022,Artes e Cultura,25295
2022,Atividades Imobiliárias,7779
2022,Comércio Varejista,355265
2022,Construção Civil,201338
2022,Educação,91404
2022,Energia Elétrica e Gás,24
2022,Indústria Extrativa,12865
2022,Indústria de Transformação,220742
2022,Não informado,-1
2022,Organismos Internacionais,61
2022,Outros Serviços,49554
2022,Saúde e Serviços Sociais,92992
2022,Serviços Administrativos,278858
2022,Serviços Domésticos,133
2022,Serviços Financeiros,35375
2022,Serviços Profissionais,114182
2022,Tecnologia e Comunicação,71201
2022,Transporte e Armazenagem,126092
2022,Água e Saneamento,20604
2023,Administração Pública,10875
2023,Agropecuária,36091
2023,Alimentação e Hospedagem,115410
2023,Artes e Cultura,24351
2023,Atividades Imobiliárias,4057
2023,Comércio Varejista,277312
2023,Construção Civil,162796
2023,Educação,49064
2023,Energia Elétrica e Gás,2267
2023,Indústria Extrativa,14371
2023,Indústria de Transformação,102504
2023,Não informado,-23
2023,Organismos Internacionais,63
2023,Outros Serviços,36107
2023,Saúde e Serviços Sociais,110486
2023,Serviços Administrativos,288823
2023,Serviços Domésticos,52
2023,Serviços Financeiros,12227
2023,Serviços Profissionais,67699
2023,Tecnologia e Comunicação,16369
2023,Transporte e Armazenagem,113087
2023,Água e Saneamento,6874
2024,Administração Pública,2135
2024,Agropecuária,7844
2024,Alimentação e Hospedagem,82800
2024,Artes e Cultura,27364
2024,Atividades Imobiliárias,5883
2024,Comércio Varejista,329154
2024,Construção Civil,110998
2024,Educação,51924
2024,Energia Elétrica e Gás,3082
2024,Indústria Extrativa,11387
2024,Indústria de Transformação,280271
2024,Não informado,-55
2024,Organismos Internacionais,5
2024,Outros Serviços,29114
2024,Saúde e Serviços Sociais,144674
2024,Serviços Administrativos,312651
2024,Serviços Domésticos,122
2024,Serviços Financeiros,20955
2024,Serviços Profissionais,73202
2024,Tecnologia e Comunicação,34821
2024,Transporte e Armazenagem,111256
2024,Água e Saneamento,9679
